time:48, state_pair:((18, 32), (22, 8)), current_state:(22, 8), n:22, dest:8, env.nlinks[n]:4, action:0
time:48, state_pair:((21, 8), (34, 24)), next_state:(21, 8), n:22, dest:8, env.nlinks[n]:4, action:0
time:49, state_pair:((21, 8), (34, 24)), current_state:(34, 24), n:34, dest:24, env.nlinks[n]:2, action:0
time:49, state_pair:((33, 24), (18, 32)), next_state:(33, 24), n:34, dest:24, env.nlinks[n]:2, action:0
time:50, state_pair:((33, 24), (18, 32)), current_state:(18, 32), n:18, dest:32, env.nlinks[n]:3, action:2
time:50, state_pair:((24, 32), (21, 8)), next_state:(24, 32), n:18, dest:32, env.nlinks[n]:3, action:2
time:51, state_pair:((24, 32), (21, 8)), current_state:(21, 8), n:21, dest:8, env.nlinks[n]:4, action:0
time:51, state_pair:((20, 8), (24, 32)), next_state:(20, 8), n:21, dest:8, env.nlinks[n]:4, action:0
time:52, state_pair:((20, 8), (24, 32)), current_state:(24, 32), n:24, dest:32, env.nlinks[n]:2, action:1
time:52, state_pair:((30, 32), (33, 24)), next_state:(30, 32), n:24, dest:32, env.nlinks[n]:2, action:1
time:53, state_pair:((30, 32), (33, 24)), current_state:(33, 24), n:33, dest:24, env.nlinks[n]:2, action:0
time:53, state_pair:((32, 24), (9, 24)), next_state:(32, 24), n:33, dest:24, env.nlinks[n]:2, action:0
time:54, state_pair:((32, 24), (9, 24)), current_state:(9, 24), n:9, dest:24, env.nlinks[n]:3, action:2
time:54, state_pair:((15, 24), (20, 8)), next_state:(15, 24), n:9, dest:24, env.nlinks[n]:3, action:2
time:55, state_pair:((15, 24), (20, 8)), current_state:(20, 8), n:20, dest:8, env.nlinks[n]:4, action:1
time:55, state_pair:((14, 8), (30, 32)), next_state:(14, 8), n:20, dest:8, env.nlinks[n]:4, action:1
time:56, state_pair:((14, 8), (30, 32)), current_state:(30, 32), n:30, dest:32, env.nlinks[n]:2, action:1
time:56, state_pair:((31, 32), (32, 24)), next_state:(31, 32), n:30, dest:32, env.nlinks[n]:2, action:1
time:57, state_pair:((31, 32), (32, 24)), current_state:(32, 24), n:32, dest:24, env.nlinks[n]:2, action:0
time:57, state_pair:((31, 24), (14, 8)), next_state:(31, 24), n:32, dest:24, env.nlinks[n]:2, action:0
time:58, state_pair:((31, 24), (14, 8)), current_state:(14, 8), n:14, dest:8, env.nlinks[n]:3, action:1
time:58, state_pair:((14, 8), (31, 32)), next_state:(14, 8), n:14, dest:8, env.nlinks[n]:3, action:1
time:59, state_pair:((14, 8), (31, 32)), current_state:(31, 32), n:31, dest:32, env.nlinks[n]:2, action:1
time:59, state_pair:((31, 32), (15, 24)), next_state:(31, 32), n:31, dest:32, env.nlinks[n]:2, action:1
time:60, state_pair:((31, 32), (15, 24)), current_state:(15, 24), n:15, dest:24, env.nlinks[n]:3, action:2
time:60, state_pair:((21, 24), (16, 34)), next_state:(21, 24), n:15, dest:24, env.nlinks[n]:3, action:2
time:61, state_pair:((21, 24), (16, 34)), current_state:(16, 34), n:16, dest:34, env.nlinks[n]:4, action:2
time:61, state_pair:((17, 34), (31, 24)), next_state:(17, 34), n:16, dest:34, env.nlinks[n]:4, action:2
time:62, state_pair:((17, 34), (31, 24)), current_state:(31, 24), n:31, dest:24, env.nlinks[n]:2, action:0
time:62, state_pair:((30, 24), (21, 24)), next_state:(30, 24), n:31, dest:24, env.nlinks[n]:2, action:0
time:63, state_pair:((30, 24), (21, 24)), current_state:(21, 24), n:21, dest:24, env.nlinks[n]:4, action:0
time:63, state_pair:((20, 24), (30, 24)), next_state:(20, 24), n:21, dest:24, env.nlinks[n]:4, action:0
time:64, state_pair:((20, 24), (30, 24)), current_state:(30, 24), n:30, dest:24, env.nlinks[n]:2, action:0
time:64, state_pair:((30, 24), (17, 34)), next_state:(30, 24), n:30, dest:24, env.nlinks[n]:2, action:0
time:65, state_pair:((30, 24), (17, 34)), current_state:(17, 34), n:17, dest:34, env.nlinks[n]:3, action:2
time:65, state_pair:((23, 34), (17, 34)), next_state:(23, 34), n:17, dest:34, env.nlinks[n]:3, action:2
time:66, state_pair:((23, 34), (17, 34)), current_state:(17, 34), n:17, dest:34, env.nlinks[n]:3, action:2
time:66, state_pair:((23, 34), (23, 34)), next_state:(23, 34), n:17, dest:34, env.nlinks[n]:3, action:2
time:67, state_pair:((23, 34), (23, 34)), current_state:(23, 34), n:23, dest:34, env.nlinks[n]:3, action:1
time:67, state_pair:((17, 34), (15, 33)), next_state:(17, 34), n:23, dest:34, env.nlinks[n]:3, action:1
time:68, state_pair:((17, 34), (15, 33)), current_state:(15, 33), n:15, dest:33, env.nlinks[n]:3, action:1
time:68, state_pair:((16, 33), (20, 24)), next_state:(16, 33), n:15, dest:33, env.nlinks[n]:3, action:1
time:69, state_pair:((16, 33), (20, 24)), current_state:(20, 24), n:20, dest:24, env.nlinks[n]:4, action:0
time:69, state_pair:((19, 24), (16, 33)), next_state:(19, 24), n:20, dest:24, env.nlinks[n]:4, action:0
time:70, state_pair:((19, 24), (16, 33)), current_state:(16, 33), n:16, dest:33, env.nlinks[n]:4, action:2
time:70, state_pair:((17, 33), (30, 17)), next_state:(17, 33), n:16, dest:33, env.nlinks[n]:4, action:2
time:71, state_pair:((17, 33), (30, 17)), current_state:(30, 17), n:30, dest:17, env.nlinks[n]:2, action:0
time:71, state_pair:((24, 17), (23, 34)), next_state:(24, 17), n:30, dest:17, env.nlinks[n]:2, action:0
time:72, state_pair:((24, 17), (23, 34)), current_state:(23, 34), n:23, dest:34, env.nlinks[n]:3, action:1
time:72, state_pair:((17, 34), (19, 24)), next_state:(17, 34), n:23, dest:34, env.nlinks[n]:3, action:1
time:73, state_pair:((17, 34), (19, 24)), current_state:(19, 24), n:19, dest:24, env.nlinks[n]:4, action:0
time:73, state_pair:((18, 24), (17, 33)), next_state:(18, 24), n:19, dest:24, env.nlinks[n]:4, action:0
time:74, state_pair:((18, 24), (17, 33)), current_state:(17, 33), n:17, dest:33, env.nlinks[n]:3, action:2
time:74, state_pair:((23, 33), (17, 34)), next_state:(23, 33), n:17, dest:33, env.nlinks[n]:3, action:2
time:75, state_pair:((23, 33), (17, 34)), current_state:(17, 34), n:17, dest:34, env.nlinks[n]:3, action:2
time:75, state_pair:((23, 34), (18, 24)), next_state:(23, 34), n:17, dest:34, env.nlinks[n]:3, action:2
time:76, state_pair:((23, 34), (18, 24)), current_state:(18, 24), n:18, dest:24, env.nlinks[n]:3, action:2
time:76, state_pair:((18, 24), (24, 17)), next_state:(18, 24), n:18, dest:24, env.nlinks[n]:3, action:2
time:77, state_pair:((18, 24), (24, 17)), current_state:(24, 17), n:24, dest:17, env.nlinks[n]:2, action:0
time:77, state_pair:((18, 17), (16, 5)), next_state:(18, 17), n:24, dest:17, env.nlinks[n]:2, action:0
time:78, state_pair:((18, 17), (16, 5)), current_state:(16, 5), n:16, dest:5, env.nlinks[n]:4, action:1
time:78, state_pair:((10, 5), (17, 34)), next_state:(10, 5), n:16, dest:5, env.nlinks[n]:4, action:1
time:79, state_pair:((10, 5), (17, 34)), current_state:(17, 34), n:17, dest:34, env.nlinks[n]:3, action:0
time:79, state_pair:((16, 34), (18, 17)), next_state:(16, 34), n:17, dest:34, env.nlinks[n]:3, action:0
time:80, state_pair:((16, 34), (18, 17)), current_state:(18, 17), n:18, dest:17, env.nlinks[n]:3, action:1
time:80, state_pair:((19, 17), (16, 34)), next_state:(19, 17), n:18, dest:17, env.nlinks[n]:3, action:1
time:81, state_pair:((19, 17), (16, 34)), current_state:(16, 34), n:16, dest:34, env.nlinks[n]:4, action:2
time:81, state_pair:((17, 34), (10, 5)), next_state:(17, 34), n:16, dest:34, env.nlinks[n]:4, action:2
time:82, state_pair:((17, 34), (10, 5)), current_state:(10, 5), n:10, dest:5, env.nlinks[n]:4, action:1
time:82, state_pair:((4, 5), (5, 18)), next_state:(4, 5), n:10, dest:5, env.nlinks[n]:4, action:1
time:83, state_pair:((4, 5), (5, 18)), current_state:(5, 18), n:5, dest:18, env.nlinks[n]:2, action:0
time:83, state_pair:((4, 18), (19, 17)), next_state:(4, 18), n:5, dest:18, env.nlinks[n]:2, action:0
time:84, state_pair:((4, 18), (19, 17)), current_state:(19, 17), n:19, dest:17, env.nlinks[n]:4, action:2
time:84, state_pair:((20, 17), (17, 34)), next_state:(20, 17), n:19, dest:17, env.nlinks[n]:4, action:2
time:85, state_pair:((20, 17), (17, 34)), current_state:(17, 34), n:17, dest:34, env.nlinks[n]:3, action:2
time:85, state_pair:((23, 34), (23, 33)), next_state:(23, 34), n:17, dest:34, env.nlinks[n]:3, action:2
time:86, state_pair:((23, 34), (23, 33)), current_state:(23, 33), n:23, dest:33, env.nlinks[n]:3, action:2
time:86, state_pair:((29, 33), (4, 5)), next_state:(29, 33), n:23, dest:33, env.nlinks[n]:3, action:2
time:87, state_pair:((29, 33), (4, 5)), current_state:(4, 5), n:4, dest:5, env.nlinks[n]:3, action:1
time:87, state_pair:((4, 5), (4, 18)), next_state:(4, 5), n:4, dest:5, env.nlinks[n]:3, action:1
time:88, state_pair:((4, 5), (4, 18)), current_state:(4, 18), n:4, dest:18, env.nlinks[n]:3, action:0
time:88, state_pair:((3, 18), (26, 7)), next_state:(3, 18), n:4, dest:18, env.nlinks[n]:3, action:0
time:89, state_pair:((3, 18), (26, 7)), current_state:(26, 7), n:26, dest:7, env.nlinks[n]:2, action:0
time:89, state_pair:((25, 7), (20, 17)), next_state:(25, 7), n:26, dest:7, env.nlinks[n]:2, action:0
time:90, state_pair:((25, 7), (20, 17)), current_state:(20, 17), n:20, dest:17, env.nlinks[n]:4, action:2
time:90, state_pair:((21, 17), (29, 33)), next_state:(21, 17), n:20, dest:17, env.nlinks[n]:4, action:2
time:91, state_pair:((21, 17), (29, 33)), current_state:(29, 33), n:29, dest:33, env.nlinks[n]:2, action:1
time:91, state_pair:((35, 33), (23, 34)), next_state:(35, 33), n:29, dest:33, env.nlinks[n]:2, action:1
time:92, state_pair:((35, 33), (23, 34)), current_state:(23, 34), n:23, dest:34, env.nlinks[n]:3, action:2
time:92, state_pair:((29, 34), (25, 7)), next_state:(29, 34), n:23, dest:34, env.nlinks[n]:3, action:2
time:93, state_pair:((29, 34), (25, 7)), current_state:(25, 7), n:25, dest:7, env.nlinks[n]:2, action:0
time:93, state_pair:((19, 7), (1, 29)), next_state:(19, 7), n:25, dest:7, env.nlinks[n]:2, action:0
time:94, state_pair:((19, 7), (1, 29)), current_state:(1, 29), n:1, dest:29, env.nlinks[n]:3, action:1
time:94, state_pair:((2, 29), (21, 17)), next_state:(2, 29), n:1, dest:29, env.nlinks[n]:3, action:1
time:95, state_pair:((2, 29), (21, 17)), current_state:(21, 17), n:21, dest:17, env.nlinks[n]:4, action:1
time:95, state_pair:((15, 17), (29, 34)), next_state:(15, 17), n:21, dest:17, env.nlinks[n]:4, action:1
time:96, state_pair:((15, 17), (29, 34)), current_state:(29, 34), n:29, dest:34, env.nlinks[n]:2, action:1
time:96, state_pair:((35, 34), (35, 33)), next_state:(35, 34), n:29, dest:34, env.nlinks[n]:2, action:1
time:97, state_pair:((35, 34), (35, 33)), current_state:(35, 33), n:35, dest:33, env.nlinks[n]:2, action:0
time:97, state_pair:((34, 33), (23, 34)), next_state:(34, 33), n:35, dest:33, env.nlinks[n]:2, action:0
time:98, state_pair:((34, 33), (23, 34)), current_state:(23, 34), n:23, dest:34, env.nlinks[n]:3, action:2
time:98, state_pair:((29, 34), (19, 7)), next_state:(29, 34), n:23, dest:34, env.nlinks[n]:3, action:2
time:99, state_pair:((29, 34), (19, 7)), current_state:(19, 7), n:19, dest:7, env.nlinks[n]:4, action:1
time:99, state_pair:((13, 7), (2, 29)), next_state:(13, 7), n:19, dest:7, env.nlinks[n]:4, action:1
time:100, state_pair:((13, 7), (2, 29)), current_state:(2, 29), n:2, dest:29, env.nlinks[n]:2, action:1
