q learning with callmean:0 time:176, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:177, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:178, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:179, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:180, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:181, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:182, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:183, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:184, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:185, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:186, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:187, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:188, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:189, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:190, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:191, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:192, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:193, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:194, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:195, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:196, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:197, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:198, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:199, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:200, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:201, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:202, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:203, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:204, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:205, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:206, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:207, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:208, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:209, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:210, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:211, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:212, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:213, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:214, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:215, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:216, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:217, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:218, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:219, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:220, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:221, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:222, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:223, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:224, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:225, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:226, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:227, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:228, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:229, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:230, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:231, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:232, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:233, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:234, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:235, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:236, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:237, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:238, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:239, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:240, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:241, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:242, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:243, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:244, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:245, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:246, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:247, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:248, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:249, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:250, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:251, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:252, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:253, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:254, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:255, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:256, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:257, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:258, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:259, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:260, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:261, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:262, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:263, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:264, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:265, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:266, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:267, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:268, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
